#Résultats bruts de l'abondance de mutation du gène KIT selon la feature FLT3-ITD, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.016217 avec le test Mann-Whitney
 Abundance   TotalKmers  NormalizedExpression FLT3-ITD
 89.931034 9.003873e+09              9.988038 negative
104.206897 6.552646e+09             15.903025 negative
 19.931034 8.693196e+09              2.292717 positive
 10.241379 1.086433e+10              0.942661 positive
 40.344828 7.030049e+09              5.738911 negative
 24.206897 7.232959e+09              3.346749 negative
 20.482759 8.731695e+09              2.345794 negative
 21.413793 6.639299e+09              3.225309 negative
175.103448 8.101218e+09             21.614461 negative
 29.413793 8.484923e+09              3.466595 negative
 26.068966 1.422772e+10              1.832266 positive
 68.517241 1.074916e+10              6.374197 positive
 45.896552 8.712778e+09              5.267729 negative
 22.344828 7.145735e+09              3.127016 negative
 30.724138 6.229103e+09              4.932354 negative
 27.931034 5.575294e+09              5.009787 negative
 78.344828 7.746475e+09             10.113610 negative
 37.241379 9.795604e+09              3.801846 negative
 45.620690 8.251345e+09              5.528879 negative
190.310345 8.577040e+09             22.188348 negative
 10.241379 5.709512e+09              1.793740 negative
 22.344828 7.345463e+09              3.041991 positive
 12.103448 5.990584e+09              2.020412 positive
 21.413793 7.110504e+09              3.011572 negative
 13.034483 6.708081e+09              1.943102 negative
 55.862069 8.909130e+09              6.270205 negative
 10.655172 7.223086e+09              1.475155 negative
 10.241379 7.477301e+09              1.369663 positive
 13.862069 6.346827e+09              2.184094 negative
 78.827586 6.065394e+09             12.996284 negative
 36.310345 9.138029e+09              3.973542 positive
 39.689655 7.536666e+09              5.266209 negative
 13.965517 1.240522e+10              1.125777 negative
 90.862069 9.072297e+09             10.015333 negative
 84.172414 8.557945e+09              9.835587 negative
 26.068966 1.257424e+10              2.073204 negative
 27.275862 7.963119e+09              3.425274 negative
 52.137931 1.183531e+10              4.405288 positive
 44.965517 8.965946e+09              5.015145 negative
 80.965517 1.233472e+10              6.564036 negative
 72.482759 9.269706e+09              7.819316 negative
 11.206897 9.361311e+09              1.197150 positive
 36.275862 8.628494e+09              4.204194 positive
 59.862069 1.088828e+10              5.497846 negative
 25.137931 8.901402e+09              2.824042 negative
 24.206897 1.306337e+10              1.853036 negative
 26.896552 9.651607e+09              2.786743 negative
 62.310345 1.344911e+10              4.633046 negative
 20.482759 8.005594e+09              2.558556 positive
 71.793103 1.173747e+10              6.116572 negative
 10.241379 9.354164e+09              1.094847 negative
 17.379310 8.833061e+09              1.967530 positive
 18.620690 9.109860e+09              2.044015 negative
 17.689655 1.246479e+10              1.419170 negative
 97.482759 1.072766e+10              9.087044 negative
 17.965517 1.152272e+10              1.559139 negative
230.344828 1.124931e+10             20.476350 negative
 57.103448 7.030049e+09              8.122766 negative
 29.034483 1.117844e+10              2.597363 negative
 23.344828 1.428796e+10              1.633881 negative
110.586207 9.470333e+09             11.677119 negative
 88.413793 9.170928e+09              9.640659 negative
217.034483 7.219227e+09             30.063398 negative
112.034483 8.954781e+09             12.511136 negative
 11.517241 7.963119e+09              1.446323 negative
 31.000000 7.421624e+09              4.176983 positive
 17.103448 8.566528e+09              1.996544 negative
 23.206897 5.270370e+09              4.403276 negative
