#Boxplots d'expressions du gène TP53 en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 4.512, p-value = 0.00132
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2116         mut4        0.064518
   BA2441         mut4        1.881934
   BA2715         mut4        0.184752
   BA2822         mut4        1.133476
   BA3139         mut4        1.019059
   BA3285         mut4        1.079393
   BA2113        mut10        1.317575
   BA2275        mut10        0.766026
   BA2937        mut10        1.220042
   BA2939        mut10        0.373981
   BA3410        mut10        0.222554
   BA3438        mut10        0.686695
   BA2273        mut14        0.286318
   BA2308        mut14        0.434037
   BA2832        mut14        0.861266
   BA3040        mut14        1.670380
   BA3152        mut14        0.712516
   BA3395        mut14        0.632293
   BA2003        mut30        0.299569
   BA2011        mut30        0.146936
   BA2020        mut30        1.958746
   BA2022        mut30        1.087845
   BA2023        mut30        1.037062
   BA2024        mut30        0.599267
   BA2025        mut30        1.454826
   BA2031        mut30        1.292623
   BA2033        mut30        0.185769
   BA2034        mut30        1.419450
   BA2036        mut30        0.997633
   BA2041        mut30        0.580931
   BA2044        mut30        1.902981
   BA2046        mut30        0.313515
   BA2047        mut30        0.724737
   BA2050        mut30        0.874863
   BA2051        mut30        0.081981
   BA2052        mut30        0.482873
   BA2053        mut30        0.335283
   BA2054        mut30        0.374041
   BA2063        mut30        0.244238
   BA2065        mut30        1.233282
   BA2066        mut30        1.697506
   BA2068        mut30        0.466843
   BA2069        mut30        2.228146
   BA2072        mut30        1.209184
   BA2079        mut30        0.234917
   BA2081        mut30        1.563784
   BA2082        mut30        0.187024
   BA2087        mut30        0.870409
   BA2089        mut30        0.846003
   BA2093        mut30        0.373947
   BA2094        mut30        1.141101
   BA2095        mut30        1.683411
   BA2096        mut30        1.047968
   BA2097        mut30        0.433997
   BA2098        mut30        2.847617
   BA2101        mut30        0.405498
   BA2104        mut30        0.767203
   BA2106        mut30        0.422740
   BA2109        mut30        0.151293
   BA2110        mut30        0.377436
   BA2113        mut30        1.317575
   BA2116        mut30        0.064518
   BA2121        mut30        1.276039
   BA2123        mut30        0.904074
   BA2124        mut30        1.475728
   BA2125        mut30        1.353582
   BA2134        mut30        0.866552
   BA2135        mut30        0.414302
   BA2139        mut30        0.662380
   BA2153        mut30        0.527666
   BA2155        mut30        0.863047
   BA2156        mut30        1.605749
   BA2162        mut30        0.506998
   BA2163        mut30        1.570360
   BA2168        mut30        0.623471
   BA2169        mut30        0.329790
   BA2171        mut30        1.034394
   BA2172        mut30        1.067184
   BA2174        mut30        0.767501
   BA2184        mut30        1.259574
   BA2195        mut30        0.487131
   BA2198        mut30        1.263923
   BA2200        mut30        1.570928
   BA2201        mut30        0.961737
   BA2209        mut30        0.167399
   BA2211        mut30        1.418619
   BA2212        mut30        0.268695
   BA2217        mut30        1.471692
   BA2220        mut30        2.260026
   BA2221        mut30        0.486815
   BA2226        mut30        1.265957
   BA2227        mut30        0.699361
   BA2228        mut30        0.362320
   BA2229        mut30        0.257394
   BA2233        mut30        0.222138
   BA2234        mut30        0.793355
   BA2235        mut30        1.488575
   BA2236        mut30        1.137556
   BA2239        mut30        1.039001
   BA2240        mut30        0.689214
   BA2244        mut30        1.005379
   BA2245        mut30        1.822652
   BA2248        mut30        0.290841
   BA2249        mut30        1.417139
   BA2251        mut30        2.412152
   BA2256        mut30        0.705247
   BA2260        mut30        0.670160
   BA2269        mut30        0.164860
   BA2272        mut30        0.719023
   BA2273        mut30        0.286318
   BA2275        mut30        0.766026
   BA2276        mut30        0.811795
   BA2277        mut30        1.112877
   BA2280        mut30        1.931656
   BA2281        mut30        1.214629
   BA2282        mut30        0.339949
   BA2286        mut30        1.388647
   BA2292        mut30        1.520326
   BA2294        mut30        1.535291
   BA2296        mut30        1.122047
   BA2300        mut30        0.179041
   BA2301        mut30        0.241033
   BA2302        mut30        0.096331
   BA2304        mut30        0.623753
   BA2306        mut30        0.789275
   BA2308        mut30        0.434037
   BA2309        mut30        1.312752
   BA2311        mut30        0.444970
   BA2312        mut30        0.361394
   BA2316        mut30        1.278619
   BA2322        mut30        0.737490
   BA2325        mut30        0.826410
   BA2329        mut30        1.158434
   BA2334        mut30        0.488799
   BA2344        mut30        1.499645
   BA2347        mut30        0.115424
   BA2348        mut30        0.149443
   BA2354        mut30        1.164769
   BA2360        mut30        2.040762
   BA2361        mut30        0.123825
   BA2363        mut30        0.781856
   BA2369        mut30        0.242258
   BA2374        mut30        0.889616
   BA2376        mut30        1.050376
   BA2377        mut30        0.846351
   BA2379        mut30        0.134665
   BA2385        mut30        0.085116
   BA2386        mut30        0.284184
   BA2387        mut30        1.955756
   BA2394        mut30        0.605847
   BA2399        mut30        1.095368
   BA2400        mut30        1.093156
   BA2402        mut30        0.374058
   BA2405        mut30        0.204557
   BA2409        mut30        0.924395
   BA2410        mut30        0.225639
   BA2413        mut30        0.252906
   BA2414        mut30        1.135986
   BA2415        mut30        0.859373
   BA2417        mut30        0.662213
   BA2418        mut30        0.438892
   BA2420        mut30        1.630009
   BA2421        mut30        0.564635
   BA2423        mut30        0.357058
   BA2425        mut30        0.502347
   BA2426        mut30        0.515718
   BA2427        mut30        0.160502
   BA2429        mut30        0.682181
   BA2441        mut30        1.881934
   BA2442        mut30        0.774967
   BA2446        mut30        1.588458
   BA2449        mut30        0.415255
   BA2450        mut30        1.355360
   BA2452        mut30        0.837788
   BA2454        mut30        1.153538
   BA2455        mut30        0.492912
   BA2456        mut30        0.231655
   BA2459        mut30        0.255819
   BA2461        mut30        0.526652
   BA2463        mut30        0.999981
   BA2464        mut30        1.224444
   BA2472        mut30        0.275498
   BA2474        mut30        1.234912
   BA2477        mut30        1.403073
   BA2479        mut30        0.258982
   BA2480        mut30        1.220967
   BA2481        mut30        0.629660
   BA2482        mut30        0.795819
   BA2483        mut30        1.042548
