	KRAS	NRAS
BA2392	5.43366284276519	6.99377561399407
BA2611	5.44975353911016	7.10771088589405
BA2506	5.49025573477232	7.09047728148948
BA2430	5.53462725078282	7.04058248557274
BA2448	5.48685812816546	7.03404295294828
BA2730	5.47946766016977	7.08368088883067
BA2845	5.42819410723842	7.05721925341645
BA2326	5.42783552982912	7.06736498172321
BA2341	5.45089515331898	7.06956103001791
BA2612	5.42712462599135	7.05213628356552
BA2973	5.43657703696705	7.05132427456444
BA2390	5.50463075333179	7.07251029744415
BA3218	5.51767715851919	7.02698040559294
BA3105	5.36762345778751	6.9582357295531
BA3402	5.42530018626189	7.00218029229942
BA3276	5.38186716708803	6.97383568837724
BA2409	5.89440299333517	6.66888521161026
BA3037	6.6430484484285	7.81101053195418
BA2496	6.08237851607355	6.87847286019697
BA2172	6.43193622663115	7.48490734822992
BA2865	5.99605530428902	7.04635072837336
BA2923	6.16045405253415	6.98553956904008
BA2751	6.18950223686314	6.77246010495607
BA2480	5.91637612602088	7.18731663184627
BA2286	5.85069378244672	7.33073792117204
BA2922	5.26318703577151	7.03335772337666
BA2452	5.32594510532091	7.31937809888862
BA3379	5.48165003338094	7.00010998499046
BA2887	5.56705100056312	7.41889646736553
BA2712	6.55232565838748	7.50539293842063
BA2068	5.02586431491849	7.4914611939268
BA2236	5.54693972524537	6.97926113627939
BA2104	6.33368252669389	7.44951411714195
BA3124	5.89124416348565	6.57560815980456
BA3395	6.05734317039693	6.90753952267277
BA2921	7.00713971211596	7.78959302181462
BA2449	6.30418081628279	8.06147774301482
BA2003	6.54928934120065	8.17625565039323
BA2360	5.14123425745589	6.81512757535845
BA2802	6.36930495814156	7.45670028367566
BA2235	6.48013079701668	7.04635072837336
BA2858	6.46928283157509	7.49256176412129
BA3038	6.02896726775605	6.89245255653176
BA3006	6.36840696799515	6.73983231150721
BA2245	6.94092532395025	7.15078589361001
BA2667	5.51310398165662	6.65958088429919
BA2239	5.7458954791197	6.67392482770239
BA2782	6.26033254809805	6.70809549173072
BA2649	6.02657524046515	7.27898774790875
BA2488	6.14107496616557	7.24053779186389
BA2861	5.88444565778855	7.12189404339898
