#Boxplots d'expressions du gène NPM1 en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 0.555, p-value = 0.646
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2003         mut1        9.045020
   BA2020         mut1        9.152456
   BA2032         mut1        9.373547
   BA2054         mut1        8.545088
   BA2065         mut1        9.206964
   BA2098         mut1        8.092515
   BA2104         mut1        6.915991
   BA2106         mut1        9.549456
   BA2110         mut1        7.713473
   BA2123         mut1        9.579092
   BA2124         mut1        9.498194
   BA2133         mut1        7.835544
   BA2139         mut1        6.802992
   BA2171         mut1        9.171715
   BA2200         mut1        9.300659
   BA2201         mut1        8.897761
   BA2211         mut1        9.177348
   BA2226         mut1        8.814877
   BA2233         mut1        9.199065
   BA2236         mut1        8.759952
   BA2239         mut1        8.174287
   BA2240         mut1        8.255544
   BA2242         mut1        8.120419
   BA2244         mut1        8.449666
   BA2249         mut1        8.638945
   BA2277         mut1        8.686769
   BA2280         mut1        8.501602
   BA2301         mut1        8.061478
   BA2376         mut1        6.979938
   BA2386         mut1        9.099707
   BA2410         mut1        9.343137
   BA2418         mut1        9.141008
   BA2450         mut1        8.759952
   BA2452         mut1        9.330277
   BA2473         mut1        9.135184
   BA2474         mut1        9.081273
   BA2477         mut1        9.292294
   BA2479         mut1        8.228329
   BA2480         mut1        8.385633
   BA2485         mut1        8.788999
   BA2512         mut1        6.816298
   BA2523         mut1        9.334552
   BA2552         mut1        9.427046
   BA2563         mut1        9.218884
   BA2579         mut1        7.856334
   BA2588         mut1        9.440702
   BA2662         mut1        8.342321
   BA2704         mut1        9.234915
   BA2705         mut1        8.459411
   BA2726         mut1        6.498464
   BA2744         mut1        9.343137
   BA2746         mut1        7.894015
   BA2772         mut1        9.422519
   BA2775         mut1        8.849415
   BA2776         mut1        9.187287
   BA2778         mut1        6.986216
   BA2782         mut1        7.591012
   BA2789         mut1        9.364800
   BA2806         mut1        9.013069
   BA2813         mut1        9.544570
   BA2820         mut1        8.204145
   BA2824         mut1        8.584578
   BA2829         mut1        8.796353
   BA2836         mut1        8.748006
   BA2846         mut1        9.175594
   BA2856         mut1        7.562070
   BA2865         mut1        9.534843
   BA2870         mut1        9.267456
   BA2879         mut1        7.480576
   BA2885         mut1        8.021425
   BA2893         mut1        9.506014
   BA2902         mut1        8.827349
   BA2910         mut1        9.222877
   BA2911         mut1        9.351768
   BA2914         mut1        7.969059
   BA2939         mut1        9.413504
   BA2984         mut1        8.745034
   BA2994         mut1        9.045020
   BA3001         mut1        9.698171
   BA3004         mut1        8.571295
   BA3006         mut1        9.152456
   BA3023         mut1        9.179483
   BA3037         mut1        9.175594
   BA2160         mut1        8.821100
   BA2303         mut1        7.933522
   BA2590         mut1        9.347447
   BA2924         mut1        8.765960
   BA3083         mut1        7.869625
   BA3089         mut1        9.491793
   BA3099         mut1        8.871794
   BA3119         mut1        9.016588
   BA3135         mut1        9.255177
   BA3157         mut1       10.109989
   BA3164         mut1        8.778046
   BA3176         mut1        9.214901
   BA3183         mut1        8.881482
   BA3192         mut1        9.400075
   BA3197         mut1        8.978290
   BA3200         mut1        8.311287
   BA3216         mut1        8.887974
   BA3225         mut1        6.415555
   BA3232         mut1        9.037865
   BA3234         mut1        6.619792
   BA3235         mut1        6.996534
   BA3258         mut1        7.189831
   BA3266         mut1        8.432776
   BA3269         mut1        7.803925
   BA3277         mut1        8.790227
   BA3293         mut1        8.851232
   BA3297         mut1        8.052884
   BA3299         mut1        8.268196
   BA3306         mut1        9.279828
   BA3310         mut1        9.070312
   BA3328         mut1        8.079712
   BA3332         mut1        9.369168
   BA3333         mut1        8.988646
   BA3347         mut1        7.900375
   BA3352         mut1        9.673131
   BA3375         mut1        8.534736
   BA3385         mut1        8.461858
   BA3390         mut1        7.616076
   BA3400         mut1        8.154775
   BA3421         mut1        8.253448
   BA3422         mut1        9.020115
   BA3423         mut1        9.599162
   BA3431         mut1        7.865198
   BA3433         mut1        8.721461
   BA3446         mut1        8.449666
   BA3451         mut1        7.442425
   BA3453         mut1        8.808678
   BA3454         mut1        8.534736
   BA2235         mut2        8.833622
   BA2603         mut2        8.995586
   BA2714         mut2        8.891229
   BA2724         mut2        8.560755
   BA2735         mut2        9.084943
   BA2901         mut2        8.514255
   BA3029         mut2        8.787172
   BA3219         mut2        6.953448
   BA3270         mut2        8.317876
   BA3271         mut2        8.927488
   BA3280         mut2        9.251104
   BA3317         mut2        9.905255
   BA3386         mut2        8.897761
   BA2068         mut3        8.678218
   BA3114         mut3        8.274569
   BA3146         mut3        8.494064
   BA3180         mut3        9.114605
   BA3226         mut3        9.559273
   BA2392       NonMut        9.687448
   BA2611       NonMut        9.609294
   BA2506       NonMut        9.619492
   BA2430       NonMut        9.619492
   BA2448       NonMut        9.614385
   BA2730       NonMut        9.624616
   BA2845       NonMut        9.579092
   BA2326       NonMut        9.584085
   BA2341       NonMut        9.589095
   BA2612       NonMut        9.559273
   BA2973       NonMut        9.569151
   BA2390       NonMut        9.559273
   BA3218       NonMut        9.564204
   BA3105       NonMut        9.530002
   BA3402       NonMut        9.534843
   BA3276       NonMut        9.515566
   BA2038       NonMut        8.401948
   BA2602       NonMut        8.328931
   BA2964       NonMut        7.878762
   BA2898       NonMut        7.946359
   BA3003       NonMut        7.881918
   BA2111       NonMut        8.014572
   BA2827       NonMut        8.180202
   BA2912       NonMut        8.182179
   BA2437       NonMut        8.218327
   BA2283       NonMut        7.928681
   BA2057       NonMut        7.895631
   BA2633       NonMut        8.360387
   BA3034       NonMut        7.977205
   BA2607       NonMut        8.188132
   BA2761       NonMut        8.401948
   BA2795       NonMut        8.002711
   BA2182       NonMut        8.194113
   BA2152       NonMut        7.894015
   BA2381       NonMut        9.559273
   BA2931       NonMut        8.344566
