#Résultats bruts de l'abondance de mutation du gène DNMT3A selon la feature isTransformed, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.027350 avec le test Mann-Whitney
 Abundance   TotalKmers  NormalizedExpression isTransformed
 69.379310 7.175056e+09              9.669514          TRUE
163.379310 6.217670e+09             26.276613         FALSE
 50.000000 8.531157e+09              5.860870         FALSE
 52.068966 8.340798e+09              6.242684         FALSE
 16.034483 6.152350e+09              2.606237         FALSE
 28.517241 6.142994e+09              4.642238         FALSE
 89.620690 8.495132e+09             10.549653         FALSE
 23.517241 1.153765e+10              2.038304         FALSE
 46.862069 8.054348e+09              5.818232         FALSE
 27.965517 4.867079e+09              5.745853         FALSE
126.448276 9.272545e+09             13.636846         FALSE
 28.862069 5.463356e+09              5.282847          TRUE
 51.310345 1.227116e+10              4.181377         FALSE
 93.620690 9.825842e+09              9.528007         FALSE
 63.068966 9.666895e+09              6.524222         FALSE
 51.310345 7.420922e+09              6.914281         FALSE
 61.862069 5.068153e+09             12.206039         FALSE
 52.379310 8.864156e+09              5.909114         FALSE
 46.758621 5.990584e+09              7.805353         FALSE
102.758621 9.500869e+09             10.815708          TRUE
141.275862 1.031387e+10             13.697658         FALSE
110.206897 7.211399e+09             15.282318         FALSE
119.413793 8.485386e+09             14.072876         FALSE
 50.172414 5.458739e+09              9.191210         FALSE
 32.068966 6.529792e+09              4.911177         FALSE
 54.517241 8.514264e+09              6.403048         FALSE
127.000000 8.414149e+09             15.093623         FALSE
 71.965517 7.852002e+09              9.165244          TRUE
132.206897 7.421624e+09             17.813743         FALSE
335.000000 1.185453e+10             28.259235          TRUE
 17.103448 6.124994e+09              2.792403         FALSE
 23.517241 5.633341e+09              4.174653         FALSE
 76.206897 7.145735e+09             10.664669         FALSE
113.310345 8.178035e+09             13.855449         FALSE
 62.965517 8.914914e+09              7.062941         FALSE
 37.448276 8.138126e+09              4.601585         FALSE
 22.517241 8.656098e+09              2.601315         FALSE
 18.620690 4.804985e+09              3.875286         FALSE
110.000000 9.208330e+09             11.945706          TRUE
 27.793103 8.443222e+09              3.291765         FALSE
137.517241 8.965946e+09             15.337729          TRUE
384.793103 1.088828e+10             35.340129          TRUE
161.482759 1.195007e+10             13.513127         FALSE
 78.965517 1.296097e+10              6.092561         FALSE
 16.206897 7.402556e+09              2.189365         FALSE
 29.068966 7.489154e+09              3.881475         FALSE
126.206897 1.259415e+10             10.021076         FALSE
 28.862069 6.077615e+09              4.748914         FALSE
127.034483 1.028094e+10             12.356309         FALSE
 27.034483 8.141680e+09              3.320504         FALSE
 54.068966 8.405221e+09              6.432784         FALSE
 11.758621 9.476463e+09              1.240824         FALSE
 54.586207 8.850037e+09              6.167907         FALSE
 13.896552 8.305332e+09              1.673208         FALSE
 24.586207 7.726760e+09              3.181955         FALSE
 44.896552 8.005594e+09              5.608147         FALSE
 13.896552 6.844100e+09              2.030443         FALSE
 97.620690 1.231039e+10              7.929942         FALSE
 57.103448 1.458903e+10              3.914136          TRUE
 67.846154 1.106665e+10              6.130687         FALSE
 44.275862 8.694402e+09              5.092456         FALSE
